approving,disapproving,end_date,start_date,unsure
38,58,6/23/2024,6/3/2024,4
39,56,5/23/2024,5/1/2024,5
38,58,4/22/2024,4/1/2024,4
40,55,3/20/2024,3/1/2024,5
38,59,2/20/2024,2/1/2024,3
41,54,1/22/2024,1/2/2024,5
39,59,12/20/2023,12/1/2023,2
37,59,11/20/2023,11/1/2023,4
37,59,10/23/2023,10/2/2023,4
41,58,9/23/2023,9/1/2023,1
42,53,8/23/2023,8/1/2023,5
40,55,7/27/2023,7/3/2023,4
43,54,6/22/2023,6/1/2023,3
39,57,5/24/2023,5/1/2023,5
37,59,4/25/2023,4/3/2023,4
40,56,3/23/2023,3/1/2023,4
42,54,2/23/2023,2/1/2023,5
41,54,1/22/2023,1/2/2023,4
40,55,12/2/2022,11/9/2022,5
40,56,10/20/2022,10/3/2022,4
42,56,9/16/2022,9/1/2022,2
44,53,8/23/2022,8/1/2022,3
38,59,7/26/2022,7/5/2022,3
41,57,6/20/2022,6/1/2022,3
41,54,5/22/2022,5/2/2022,5
41,56,4/19/2022,4/1/2022,3
42,54,3/18/2022,3/1/2022,4
41,55,2/17/2022,2/1/2022,4
40,56,1/16/2022,1/3/2022,4
43,51,12/16/2021,12/1/2/021,6
42,55,11/16/2021,11/1/2021,3
42,52,10/19/2021,10/1/21,6
43,55,9/17/2021,9/1/21,2
49,48,8/17/2021,8/2/21,3
50,45,7/21/2021,7/6/21,5
56,42,6/18/2021,6/1/21,2
54,40,5/18/2021,5/3/21,6
57,40,4/21/2021,4/1/21,3
54,42,3/15/2021,3/1/21,4
56,40,2/18/2021,2/3/21,4
57,37,1/1/2021,1/21/21,6
